Station,Habitat,Trap code,Coord.,Alt.,Date,Period,Fraction,Number,Dry weights (g),Comments,Status
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/20/2016,April,Messor,1,0.00506,,WT
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/20/2016,April,Other,,0.02462,,WT
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/20/2016,April,Messor,1,0.00125,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/20/2016,April,Other,,0.07989,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/20/2016,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/20/2016,April,Other,,0.05654,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/20/2016,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/20/2016,April,Other,,0.00518,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBLDD1,WED,ALBLDD11,N33.17198 W3.97856,958,4/20/2016,April,Messor,0,0,,WT
ALBLDD1,WED,ALBLDD11,N33.17198 W3.97856,958,4/20/2016,April,Other,,0.04201,,WT
ALBLDD1,WED,ALBLDD11,N33.17198 W3.97856,958,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBLDD1,WED,ALBLDD11,N33.17198 W3.97856,958,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBLDD1,WED,ALBLDD12,N33.17232 W3.97776,956,4/20/2016,April,Messor,2,0.00256,,WT
ALBLDD1,WED,ALBLDD12,N33.17232 W3.97776,956,4/20/2016,April,Other,,0.02364,,WT
ALBLDD1,WED,ALBLDD12,N33.17232 W3.97776,956,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBLDD1,WED,ALBLDD12,N33.17232 W3.97776,956,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBLDD1,WED,ALBLDD13,N33.17216 W3.97769,957,4/20/2016,April,Messor,0,0,,WT
ALBLDD1,WED,ALBLDD13,N33.17216 W3.97769,957,4/20/2016,April,Other,,0.02799,,WT
ALBLDD1,WED,ALBLDD13,N33.17216 W3.97769,957,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBLDD1,WED,ALBLDD13,N33.17216 W3.97769,957,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBLDD1,WED,ALBLDD14,N33.17182 W3.97850,958,4/20/2016,April,Messor,0,0,,WT
ALBLDD1,WED,ALBLDD14,N33.17182 W3.97850,958,4/20/2016,April,Other,,0.15255,,WT
ALBLDD1,WED,ALBLDD14,N33.17182 W3.97850,958,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBLDD1,WED,ALBLDD14,N33.17182 W3.97850,958,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBREG1,REG,ALBREG11,N33.14206 W3.94076,900,4/20/2016,April,Messor,0,0,,WT
ALBREG1,REG,ALBREG11,N33.14206 W3.94076,900,4/20/2016,April,Other,,0.00963,,WT
ALBREG1,REG,ALBREG11,N33.14206 W3.94076,900,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBREG1,REG,ALBREG11,N33.14206 W3.94076,900,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBREG1,REG,ALBREG12,N33.14213 W3.94027,899,4/20/2016,April,Messor,0,0,,WT
ALBREG1,REG,ALBREG12,N33.14213 W3.94027,899,4/20/2016,April,Other,,0.05615,,WT
ALBREG1,REG,ALBREG12,N33.14213 W3.94027,899,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBREG1,REG,ALBREG12,N33.14213 W3.94027,899,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBREG1,REG,ALBREG13,N33.14170 W3.94022,898,4/20/2016,April,Messor,0,0,,WT
ALBREG1,REG,ALBREG13,N33.14170 W3.94022,898,4/20/2016,April,Other,,0.02375,,WT
ALBREG1,REG,ALBREG13,N33.14170 W3.94022,898,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBREG1,REG,ALBREG13,N33.14170 W3.94022,898,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBREG1,REG,ALBREG14,N33.14163 W3.94069,900,4/20/2016,April,Messor,0,0,,WT
ALBREG1,REG,ALBREG14,N33.14163 W3.94069,900,4/20/2016,April,Other,,0.0261,,WT
ALBREG1,REG,ALBREG14,N33.14163 W3.94069,900,4/20/2016,April,Tenebrionidae Diet,0,0,,WT
ALBREG1,REG,ALBREG14,N33.14163 W3.94069,900,4/20/2016,April,Tenebrionidae Other,0,0,,WT
ALBSEP1,EPA,ALBSEP11,N33.14994 W3.94155,904,4/20/2016,April,Messor,1,0.00215,,WT
ALBSEP1,EPA,ALBSEP11,N33.14994 W3.94155,904,4/20/2016,April,Other,,0.1427,,WT
ALBSEP1,EPA,ALBSEP11,N33.14994 W3.94155,904,4/20/2016,April,Tenebrionidae Diet,1,0.9037,,WT
ALBSEP1,EPA,ALBSEP11,N33.14994 W3.94155,904,4/20/2016,April,Tenebrionidae Other,0,0,,WT
