Reference_Observation_Point_Name,Reference_Observation_Point_Latitude,Reference_Observation_Point_Longitude,Real_Observation_Point_Name,Real_Observation_Point_Date,Real_Observation_Point_Latitude,Real_Observation_Point_Longitude,Display_Station_Name,Display_Station_Latitude,Display_Station_Longitude,Displaying_Male_Number
P03-2B,33.168,-4.044,P03-2b,24/05/2007 05:36:00,33.16835,-4.04417,NULL,NULL,NULL,1
P09-3,33.243,-3.875,P09-3,13/03/2008 07:28:00,33.24265,-3.87467,NULL,NULL,NULL,1
P03-C,33.265,-3.882,P03c,20/03/2008 07:00:00,33.26451,-3.88204,NULL,NULL,NULL,1
P10-1,33.254,-3.829,P10-1,25/03/2008 06:23:00,33.25445,-3.8293,08P02Q,33.26358,-3.83894,1
P10-1,33.254,-3.829,P10-1,25/03/2008 06:23:00,33.25445,-3.8293,08P25Q,33.25467,-3.84029,1
P08-5,33.243,-3.936,P08-5M20,13/02/2015 08:04:00,33.24335,-3.93573,NULL,NULL,NULL,1
P02-3,33.120,-4.008,P02-3M06,20/02/2015 07:16:00,33.11962,-4.00797,NULL,NULL,NULL,1
P10-4,33.281,-3.888,P10-4M14,21/02/2015 06:40:00,33.28103,-3.88758,NULL,NULL,NULL,1
P02-5,33.146,-4.041,P02-5M06,21/02/2015 07:17:00,33.14618,-4.04127,NULL,NULL,NULL,1
P09-1,33.228,-3.835,P09-1M05,25/02/2015 07:11:00,33.22804,-3.83536,NULL,NULL,NULL,1
P09-7,33.280,-3.949,P09-7,7/4/2009 7:50,33.28004,-3.94882,NULL,NULL,NULL,1
P03-5B,33.163,-4.082,P03-5B,15/04/2009 05:54:00,33.16251,-4.08175,NULL,NULL,NULL,1
P01-D,33.135,-3.954,P01DM25,31/03/2012 06:21:00,33.13507,-3.95394,NULL,NULL,NULL,1
P02-2,33.110,-3.988,P02-2M17,4/4/2012 6:28,33.10997,-3.98802,D05M17,33.10983,-3.99029,1
P03-2,33.131,-3.977,P03-2M03,6/4/2012 6:10,33.1306,-3.97691,D09M03,33.13699,-3.99457,1
P03-D,33.193,-3.994,P03-DM14,7/4/2012 7:02,33.19307,-3.99384,NULL,NULL,NULL,1
P05-C,33.232,-3.965,P05CM04,10/4/2012 6:29,33.23213,-3.96539,NULL,NULL,NULL,1
P08-6,33.255,-3.958,P08-6M23,12/4/2012 7:36,33.25544,-3.9577,NULL,NULL,NULL,1
P02-7,33.146,-4.081,P02-7M26,17/04/2012 07:39:00,33.1459,-4.08145,NULL,NULL,NULL,1
P02-1,33.100,-3.968,P02-1M03,3/5/2012 5:15,33.10038,-3.96799,NULL,NULL,NULL,1
P05-1,33.167,-3.891,P05-1M23,3/5/2012 5:22,33.16656,-3.89121,D80M23,33.16812,-3.90811,1
P12-2,33.298,-3.804,P12-2M04,3/5/2012 5:47,33.29776,-3.80351,NULL,NULL,NULL,1
P05-6,33.180,-4.015,P05-6M04,4/5/2012 7:02,33.17979,-4.015,NULL,NULL,NULL,1
P03-2,33.131,-3.977,P03-2M20,5/5/2012 5:54,33.13058,-3.97687,NULL,NULL,NULL,1
P07-4,33.223,-3.932,P07-4M03,11/5/2012 6:24,33.22257,-3.93241,D42M03,33.23001,-3.94327,1
P05-6,33.180,-4.015,P05-6M04,15/05/2012 07:20:00,33.17981,-4.01495,NULL,NULL,NULL,1
P12-4,33.310,-3.846,P12-4M03,18/05/2012 06:19:00,33.30958,-3.84602,NULL,NULL,NULL,1
P04-6,33.184,-4.004,P04-6,26/03/2008 07:12:00,33.18443,-4.00404,NULL,NULL,NULL,1
P09-6,33.271,-3.931,P09-6,29/03/2008 06:48:00,33.27127,-3.93145,08P32R,33.26155,-3.93586,1
P09-6,33.271,-3.931,P09-6,29/03/2008 06:48:00,33.27127,-3.93145,08P12Q,33.28158,-3.91951,1
P04-2,33.145,-3.936,P04-2,15/01/2008 07:21:00,33.14471,-3.93644,NULL,NULL,NULL,1
P08-3,33.226,-3.901,P08-3,22/01/2008 08:16:00,33.22589,-3.90139,NULL,NULL,NULL,1
P08-5,33.243,-3.936,P08-5,22/01/2008 08:48:00,33.24334,-3.93573,NULL,NULL,NULL,1
P04-C,33.221,-3.950,P04c,23/01/2008 07:28:00,33.22089,-3.95048,NULL,NULL,NULL,1
P13-5,33.342,-3.821,P13-5,23/01/2008 08:47:00,33.34199,-3.82083,NULL,NULL,NULL,1
P04-C,33.221,-3.950,P04CM30,26/05/2012 05:18:00,33.22091,-3.95048,NULL,NULL,NULL,1
P02-6,33.149,-4.063,P02-6M14,26/05/2012 05:47:00,33.14909,-4.063,NULL,NULL,NULL,1
P12-5,33.317,-3.864,P12-5,9/4/2008 7:24,33.31687,-3.86446,NULL,NULL,NULL,1
P07-5,33.235,-3.948,P07-5,15/04/2008 07:20:00,33.23492,-3.94798,NULL,NULL,NULL,1
P11-2,33.269,-3.846,P11-2,22/04/2008 06:08:00,33.26859,-3.84598,NULL,NULL,NULL,1
P09-1,33.228,-3.835,P09-1,22/04/2008 06:11:00,33.22805,-3.83545,NULL,NULL,NULL,1
P04-3,33.156,-3.955,P04-3,22/04/2008 06:38:00,33.15564,-3.95461,NULL,NULL,NULL,1
P02-1,33.100,-3.968,P02-1,20/05/2008 05:32:00,33.10033,-3.96792,NULL,NULL,NULL,1
P02-3,33.120,-4.008,P02-3,6/5/2008 6:00,33.11964,-4.008,NULL,NULL,NULL,1
P06-6,33.221,-3.985,P06-5,7/5/2008 7:25,33.22106,-3.98526,NULL,NULL,NULL,1
P02-C,33.295,-3.841,P02c,28/05/2008 06:17:00,33.29458,-3.84073,NULL,NULL,NULL,1
P02-2,33.110,-3.988,P02-2,14/01/2009 07:41:00,33.10997,-3.98805,NULL,NULL,NULL,1
P01-C,33.286,-3.825,P01C,14/01/2009 07:50:00,33.28568,-3.82545,NULL,NULL,NULL,1
P05-6,33.180,-4.015,P05-6,14/01/2009 09:08:00,33.17974,-4.01499,NULL,NULL,NULL,1
P03-1,33.115,-3.961,P03-1,30/01/2009 07:00:00,33.11466,-3.96077,NULL,NULL,NULL,1
P03-C,33.265,-3.882,P03C,4/2/2009 7:32,33.26451,-3.88204,09P08N,33.27272,-3.8968,1
P03-C,33.265,-3.882,P03C,4/2/2009 7:32,33.26451,-3.88204,09P07N,33.27129,-3.88278,1
P03-3,33.145,-3.994,P03-3,6/2/2009 7:08,33.14457,-3.99378,09P03D,33.14749,-3.98325,1
P03-3,33.145,-3.994,P03-3,6/2/2009 7:08,33.14457,-3.99378,09P11P,33.1412,-4.00059,1
P03-3,33.145,-3.994,P03-3,6/2/2009 7:08,33.14457,-3.99378,09P12P,33.13608,-3.99952,1
P13-2,33.322,-3.773,P13-2,10/2/2009 7:58,33.32243,-3.77311,09P07B,33.32544,-3.78169,1
P13-2,33.322,-3.773,P13-2,10/2/2009 7:58,33.32243,-3.77311,09P05B,33.31865,-3.78935,1
P13-5,33.342,-3.821,P13-5M03,10/3/2015 7:19,33.34205,-3.82093,NULL,NULL,NULL,1
P04-1,33.136,-3.921,P04-1M30,12/3/2015 6:16,33.13627,-3.92145,NULL,NULL,NULL,1
P12-1,33.291,-3.783,P12-1M11,26/03/2015 06:18:00,33.29144,-3.78331,NULL,NULL,NULL,1
P06-4,33.206,-3.941,P06-4M03,23/01/2013 08:07:46,33.20563,-3.94103,NULL,NULL,NULL,1
P09-7,33.280,-3.949,P09-7M14,30/01/2013 08:03:39,33.28005,-3.94882,NULL,NULL,NULL,1
P09-8,33.285,-3.976,P09-8M14,30/01/2013 08:30:31,33.28471,-3.97554,NULL,NULL,NULL,1
P08-3,33.226,-3.901,P08-3M05,27/03/2015 06:33:00,33.2257,-3.90103,NULL,NULL,NULL,1
P11-5,33.304,-3.905,P11-5M25,27/03/2015 07:16:00,33.30399,-3.90548,NULL,NULL,NULL,1
P07D,33.269,-3.884,P07-DM25,27/03/2015 07:40:00,33.26899,-3.88434,NULL,NULL,NULL,1
P09-6,33.271,-3.931,P09-6M30,1/4/2015 6:07,33.2713,-3.93149,D04M30,33.26717,-3.92565,1
P09-4,33.252,-3.893,P09-4M11,3/4/2015 6:12,33.25189,-3.89313,D07M11,33.25351,-3.89658,1
P08-D,33.226,-3.870,P08-DM25,9/4/2015 7:49,33.22628,-3.86971,NULL,NULL,NULL,1
P03-D,33.193,-3.994,P03D-M20,11/4/2015 6:29,33.19307,-3.99385,NULL,NULL,NULL,1
P07D,33.269,-3.884,P07-DM14,13/04/2015 06:21:00,33.26896,-3.88436,D25M14,33.27371,-3.88493,1
P11-5,33.304,-3.905,P11-5M14,13/04/2015 07:11:00,33.30398,-3.90548,NULL,NULL,NULL,1
P10-6,33.291,-3.930,P10-6M14,14/04/2015 05:47:00,33.29118,-3.93059,D99M14,33.28674,-3.91845,1
P08-1,33.204,-3.864,P08-1M05,16/04/2015 06:24:00,33.20399,-3.86443,NULL,NULL,NULL,1
P04-1,33.136,-3.921,P04-1,16/01/2009 07:24:00,33.13625,-3.92145,NULL,NULL,NULL,1
P12-3,33.304,-3.824,P12-3,27/01/2009 08:12:00,33.30424,-3.8242,NULL,NULL,NULL,1
P10-9,33.311,-3.967,P10-9,27/01/2009 09:17:00,33.31143,-3.96744,NULL,NULL,NULL,1
P03-5,33.176,-4.021,P03-5,6/2/2009 8:50,33.1755,-4.02089,NULL,NULL,NULL,1
P04-9,33.219,-4.062,P04-9,6/2/2009 8:50,33.21895,-4.06241,NULL,NULL,NULL,1
P05-1,33.167,-3.891,P05-1,10/2/2009 6:55,33.16659,-3.89124,09P02B,33.17714,-3.91195,1
P05-1,33.167,-3.891,P05-1,10/2/2009 6:55,33.16659,-3.89124,09P13D,33.18839,-3.90314,1
P10-5,33.286,-3.910,P10-5,12/2/2009 8:10,33.2862,-3.9097,09P09B,33.29185,-3.90436,1
P04-4,33.166,-3.973,P04-4,12/2/2009 8:48,33.16576,-3.97293,09P14N,33.16154,-3.98829,1
P02-6,33.149,-4.063,P02-6M14,28/04/2015 05:53:00,33.14914,-4.0631,NULL,NULL,NULL,1
P05-3,33.172,-3.937,P05-3M06,28/04/2015 06:33:00,33.17233,-3.93712,NULL,NULL,NULL,1
P08-7,33.270,-3.971,P08-7M06,29/04/2015 07:19:00,33.26992,-3.97115,NULL,NULL,NULL,1
P07-7,33.255,-3.993,P07-7M14,30/04/2015 06:58:00,33.2545,-3.99264,NULL,NULL,NULL,1
P10-4,33.281,-3.888,P10-4M14,2/5/2015 5:50,33.28102,-3.88759,NULL,NULL,NULL,1
P03-5,33.176,-4.021,P03-5M30,2/5/2015 6:15,33.17552,-4.02092,NULL,NULL,NULL,1
P02-5,33.146,-4.041,P02-5,12/2/2009 9:13,33.1462,-4.04137,NULL,NULL,NULL,1
P09-6,33.271,-3.931,P09-6,20/02/2009 17:27:00,33.27127,-3.93145,09P07M,33.27654,-3.94077,1
P11-2,33.269,-3.846,P11-2,25/02/2009 07:35:00,33.26859,-3.84598,NULL,NULL,NULL,1
P07-2,33.210,-3.890,P07-2,25/02/2009 16:59:00,33.21034,-3.88954,09P11X,33.20443,-3.8993,1
P07-2,33.210,-3.890,P07-2,25/02/2009 16:59:00,33.21034,-3.88954,09P03M,33.21211,-3.89794,1
P02-4,33.133,-4.024,P02-4,3/3/2009 6:40,33.13312,-4.02376,NULL,NULL,NULL,1
P04-9,33.219,-4.062,P04-9,5/3/2009 17:44,33.21895,-4.06241,NULL,NULL,NULL,1
P13-1,33.319,-3.763,P13-1,10/3/2009 16:30,33.31854,-3.76261,NULL,NULL,NULL,1
P05-7,33.181,-4.030,P05-7,10/3/2009 18:00,33.18125,-4.02987,NULL,NULL,NULL,1
P05-1,33.167,-3.891,P05-1,11/3/2009 16:57,33.16659,-3.89124,NULL,NULL,NULL,1
P05-3,33.172,-3.937,P05-3,11/3/2009 17:42,33.17236,-3.93711,NULL,NULL,NULL,1
P03-3,33.145,-3.994,P03-3,24/03/2009 08:05:00,33.14457,-3.99378,09P09LC,33.13393,-4.00478,1
P03-3,33.145,-3.994,P03-3,24/03/2009 08:05:00,33.14457,-3.99378,09P10LC,33.13016,-4.00535,1
P02-3,33.120,-4.008,P02-3,25/03/2009 07:40:00,33.11964,-4.008,NULL,NULL,NULL,1
P02-4,33.133,-4.024,P02-4,25/03/2009 08:00:00,33.13312,-4.02376,NULL,NULL,NULL,1
P12-4,33.310,-3.846,P12-4,25/03/2009 08:25:00,33.30964,-3.84591,NULL,NULL,NULL,1
P10-4,33.281,-3.888,P10-4,26/03/2009 00:00:00,33.28101,-3.88759,NULL,NULL,NULL,1
P04-9,33.219,-4.062,P04-9,31/03/2009 07:34:00,33.21895,-4.06241,NULL,NULL,NULL,1
P08-6,33.255,-3.958,P08-6,31/03/2009 18:00:00,33.25544,-3.9577,M15,33.26446,-3.95257,1
P04-5,33.176,-3.991,P04-5,7/4/2009 7:45,33.17586,-3.9908,NULL,NULL,NULL,1
P08-1,33.204,-3.864,P08-1,9/4/2009 5:55,33.20401,-3.86441,09P04L,33.21536,-3.89654,1
P09-5,33.262,-3.912,P09-5,24/02/2009 08:38:00,33.26152,-3.91198,09P15N,33.25849,-3.90861,1
P09-5,33.262,-3.912,P09-5,24/02/2009 08:38:00,33.26152,-3.91198,09P02R,33.26724,-3.92581,1
P03-4B,33.180,-4.076,P03-4B,26/02/2009 07:57:00,33.18039,-4.07642,NULL,NULL,NULL,1
P03-C,33.265,-3.882,P03C,26/02/2009 08:08:00,33.26451,-3.88204,09P19N,33.27184,-3.88003,1
P03-C,33.265,-3.882,P03C,26/02/2009 08:08:00,33.26451,-3.88204,09P08N,33.27272,-3.89679,1
P13-1,33.319,-3.763,P13-1,27/02/2009 06:56:00,33.31854,-3.76261,09P11B,33.32303,-3.77289,1
P13-1,33.319,-3.763,P13-1,27/02/2009 06:56:00,33.31854,-3.76261,09P13B,33.32756,-3.77751,1
P13-1,33.319,-3.763,P13-1,27/02/2009 06:56:00,33.31854,-3.76261,09P14B,33.33491,-3.78902,1
P13-1,33.319,-3.763,P13-1,27/02/2009 06:56:00,33.31854,-3.76261,09P12B,33.32941,-3.78116,1
P10-7,33.298,-3.967,P10-7,3/3/2009 7:46,33.29785,-3.96654,NULL,NULL,NULL,1
P09-3,33.243,-3.875,P09-3,6/3/2009 6:45,33.24265,-3.87467,09P03R,33.24588,-3.86903,1
P10-9,33.311,-3.967,P10-9,18/03/2009 07:19:00,33.31143,-3.96744,NULL,NULL,NULL,1
P05-C,33.232,-3.965,P05C,18/03/2009 07:24:00,33.23212,-3.96543,NULL,NULL,NULL,1
P10-8,33.303,-3.948,P10-8,18/03/2009 08:01:00,33.30266,-3.94775,NULL,NULL,NULL,1
P02-2,33.110,-3.988,P02-2,23/03/2009 16:38:00,33.10997,-3.98805,09P23M,33.1116,-3.99342,1
P02-2,33.110,-3.988,P02-2,23/03/2009 16:38:00,33.10997,-3.98805,09P20D,33.11393,-3.98551,1
P12-2,33.298,-3.804,P12-2,24/03/2009 16:50:00,33.29775,-3.80351,NULL,NULL,NULL,1
P03-4,33.160,-4.007,P03-4,25/03/2009 06:22:00,33.16034,-4.00695,NULL,NULL,NULL,1
P12-2,33.298,-3.804,P12-2,25/03/2009 06:40:00,33.29775,-3.80351,09P04A,33.28918,-3.80867,1
P12-2,33.298,-3.804,P12-2,25/03/2009 06:40:00,33.29775,-3.80351,09P01J,33.30454,-3.811,1
P06-2,33.198,-3.898,P06-2,25/03/2009 06:52:00,33.19825,-3.89789,09P04M,33.20255,-3.9076,1
P06-2,33.198,-3.898,P06-2,25/03/2009 06:52:00,33.19825,-3.89789,5,33.19231,-3.90974,1
P09-8,33.285,-3.976,P09-8,31/03/2009 17:00:00,33.2847,-3.97554,NULL,NULL,NULL,1
P10-9,33.311,-3.967,P10-9,20/02/2009 07:38:00,33.31143,-3.96744,NULL,NULL,NULL,1
P12-6,33.323,-3.884,P12-6,23/02/2009 09:20:00,33.3231,-3.88448,NULL,NULL,NULL,1
P05-1,33.167,-3.891,P05-1,24/02/2009 06:40:00,33.16659,-3.89124,09P29D,33.17406,-3.93319,1
P01-C,33.286,-3.825,P01C,24/02/2009 06:48:00,33.28568,-3.82545,09P25P,33.29016,-3.82653,1
P01-C,33.286,-3.825,P01C,24/02/2009 06:48:00,33.28568,-3.82545,09P26P,33.29548,-3.81957,1
P03-2B,33.168,-4.044,P03-2B,26/02/2009 07:33:00,33.16835,-4.04417,NULL,NULL,NULL,1
P09-2,33.234,-3.856,P09-2,3/3/2009 6:47,33.23379,-3.85593,09P01LC,33.24761,-3.86995,1
P08-6,33.255,-3.958,P08-6,6/3/2009 6:53,33.25544,-3.9577,09P10X,33.24131,-3.94975,1
P13-2,33.322,-3.773,P13-2,6/3/2009 7:05,33.32243,-3.77311,09P04U,33.32258,-3.76943,1
P13-3,33.326,-3.782,P13-3,6/3/2009 7:42,33.3264,-3.78209,09P06U,33.33245,-3.79869,1
P13-3,33.326,-3.782,P13-3,6/3/2009 7:42,33.3264,-3.78209,09P05U,33.33142,-3.78109,1
P08-7,33.270,-3.971,P08-7,6/3/2009 7:44,33.26993,-3.97117,NULL,NULL,NULL,1
P03-3,33.145,-3.994,P03-3,11/3/2009 6:44,33.14457,-3.99378,09P03LC,33.14089,-4.00183,1
P03-3,33.145,-3.994,P03-3,11/3/2009 6:44,33.14457,-3.99378,09P04LC,33.15171,-3.99898,1
P03-3,33.145,-3.994,P03-3,11/3/2009 6:44,33.14457,-3.99378,09P12P,33.13608,-3.99952,1
P05-4,33.176,-3.959,P05-4,11/3/2009 17:55,33.17586,-3.95855,09P01P,33.18188,-3.95059,1
P05-3,33.172,-3.937,P05-3,21/04/2009 07:25:00,33.17236,-3.93711,NULL,NULL,NULL,1
P11-5,33.304,-3.905,P11-5,24/04/2009 06:56:00,33.304,-3.90548,NULL,NULL,NULL,1
P03-C,33.265,-3.882,P03C,28/04/2009 06:34:00,33.26451,-3.88204,NULL,NULL,NULL,1
P13-3,33.326,-3.782,P13-3M11,5/5/2015 5:30,33.32642,-3.78204,NULL,NULL,NULL,1
P06-D,33.330,-3.834,P06-DM11,5/5/2015 6:16,33.33024,-3.83382,NULL,NULL,NULL,1
P05-8,33.203,-4.046,P05-8M25,5/5/2015 6:30,33.20323,-4.04594,NULL,NULL,NULL,1
P09-7,33.280,-3.949,P09-7M14,15/05/2015 06:14:00,33.28003,-3.94883,NULL,NULL,NULL,1
P09-5,33.262,-3.912,P09-5M06,16/05/2015 05:53:00,33.26155,-3.91209,D16M06,33.26082,-3.905,1
P13-2,33.322,-3.773,P13-2,6/5/2009 6:06,33.32243,-3.77311,NULL,NULL,NULL,1
P12-6,33.323,-3.884,P12-6,7/5/2009 6:22,33.3231,-3.88448,NULL,NULL,NULL,1
P12-4,33.310,-3.846,P12-4,12/5/2009 6:22,33.30964,-3.84591,NULL,NULL,NULL,1
P02-5,33.146,-4.041,P02-5,14/05/2009 06:14:00,33.1462,-4.04137,NULL,NULL,NULL,1
P07-6,33.246,-3.965,P07-6,14/05/2009 06:40:00,33.24637,-3.9645,NULL,NULL,NULL,1
P08-2,33.216,-3.883,P08-2,12/3/2009 6:26,33.21649,-3.88286,09P22N,33.21578,-3.87789,1
P08-2,33.216,-3.883,P08-2,12/3/2009 6:26,33.21649,-3.88286,09P01U,33.22034,-3.8952,1
P03-2B,33.168,-4.044,P03-2B,12/3/2009 7:47,33.16835,-4.04417,NULL,NULL,NULL,1
P08-4,33.234,-3.917,P08-4,13/03/2009 08:15:00,33.23359,-3.91744,NULL,NULL,NULL,1
P09-5,33.262,-3.912,P09-5,25/03/2009 07:36:00,33.26152,-3.91198,09P06A,33.26368,-3.91308,1
P09-5,33.262,-3.912,P09-5,25/03/2009 07:36:00,33.26152,-3.91198,09P24D,33.2615,-3.90706,1
P02-7,33.146,-4.081,P02-7,16/04/2009 05:50:00,33.14584,-4.08143,NULL,NULL,NULL,1
P03-2,33.131,-3.977,P03-2,24/04/2009 06:01:00,33.13055,-3.97684,09P18R,33.14114,-3.99004,1
P03-2,33.131,-3.977,P03-2,24/04/2009 06:01:00,33.13055,-3.97684,09P02I,33.14312,-4.00015,1
P06-6,33.221,-3.985,P06-6,7/4/2009 7:16,33.22106,-3.98526,NULL,NULL,NULL,1
P03-1,33.115,-3.961,P031-M03,22/01/2013 07:08:06,33.11469,-3.96056,NULL,NULL,NULL,1
P06-3,33.202,-3.919,P06-3M03,23/01/2013 07:33:22,33.2023,-3.919,D01M03,33.2018,-3.9177,1
P12-5,33.317,-3.864,P12-5M06,23/01/2013 08:42:05,33.31691,-3.86454,NULL,NULL,NULL,1
P04-2,33.145,-3.936,P04-2M17,29/01/2013 07:30:42,33.14472,-3.93643,NULL,NULL,NULL,1
P04-5,33.176,-3.991,P04-5M17,29/01/2013 08:47:13,33.17587,-3.99082,NULL,NULL,NULL,1
P09-5,33.262,-3.912,P09-5M14,30/01/2013 07:14:44,33.26151,-3.91196,NULL,NULL,NULL,1
P03-4B,33.180,-4.076,P03-4BM05,30/01/2013 07:54:34,33.18034,-4.07652,NULL,NULL,NULL,1
P08-4,33.234,-3.917,P08-4M03,13/02/2013 08:10:00,33.23358,-3.91739,NULL,NULL,NULL,1
P12-1,33.291,-3.783,P12-1M06,26/02/2013 06:54:36,33.29144,-3.78334,NULL,NULL,NULL,1
P08-D,33.226,-3.870,P08DM06,1/3/2013 7:19,33.22628,-3.86971,NULL,NULL,NULL,1
P04-1,33.136,-3.921,P04-1M14,8/3/2013 6:33,33.13626,-3.92145,NULL,NULL,NULL,1
P06-2,33.198,-3.898,P06-2M04,8/3/2013 6:39,33.19828,-3.89792,NULL,NULL,NULL,1
P06-5,33.209,-3.964,P06-5M04,8/3/2013 7:45,33.20911,-3.96431,NULL,NULL,NULL,1
P11-4,33.295,-3.882,P11-4M11,8/3/2013 7:50,33.2946,-3.88213,NULL,NULL,NULL,1
P08-4,33.234,-3.917,P08-4M05,9/3/2013 7:24,33.23351,-3.91737,NULL,NULL,NULL,1
P06-6,33.221,-3.985,P06-6M06,9/3/2013 7:25,33.22108,-3.98528,D08M06,33.21505,-3.98685,1
P06-6,33.221,-3.985,P06-6M06,9/3/2013 7:25,33.22108,-3.98528,L99M06,33.2204,-3.98985,1
P09-7,33.280,-3.949,P09-7M20,9/3/2013 7:34,33.28003,-3.94882,NULL,NULL,NULL,1
P06-9,33.236,-4.032,P06-9M06,9/3/2013 8:49,33.23568,-4.03159,NULL,NULL,NULL,1
P03-3,33.145,-3.994,P03-3M20,18/03/2013 07:15:30,33.14457,-3.99378,NULL,NULL,NULL,1
P12-5,33.317,-3.864,P12-5M25,19/03/2013 07:40:01,33.31743,-3.86462,NULL,NULL,NULL,1
P04-8,33.202,-4.033,P04-8M20,22/03/2013 07:23:02,33.20249,-4.03303,NULL,NULL,NULL,1
P09-5,33.262,-3.912,P09-5M11,27/03/2013 06:13:33,33.26153,-3.91198,D11M11,33.26238,-3.90637,1
P08-3,33.226,-3.901,P08-3M17,27/03/2013 07:40:31,33.2259,-3.90137,NULL,NULL,NULL,1
P03-4,33.160,-4.007,P03-4M17,5/2/2013 8:45,33.16038,-4.00697,L01M17,33.14832,-4.00272,1
P02-5,33.146,-4.041,P02-5M17,7/2/2013 8:36,33.1462,-4.04136,NULL,NULL,NULL,1
P13-3,33.326,-3.782,P13-3M17,8/2/2013 7:42,33.32641,-3.78208,L03M17,33.32985,-3.77917,1
P03-5B,33.163,-4.082,P03-5BM05,12/2/2013 7:09,33.1625,-4.08171,NULL,NULL,NULL,1
P10-1,33.254,-3.829,P10-1M20,26/02/2013 06:50:33,33.25444,-3.8293,NULL,NULL,NULL,1
P07-2,33.210,-3.890,P07-2M04,26/02/2013 07:27:39,33.21035,-3.88954,D14M04,33.21532,-3.89682,1
P07-2,33.210,-3.890,P07-2M04,26/02/2013 07:27:39,33.21035,-3.88954,L13M04,33.20566,-3.89075,1
P03-2,33.131,-3.977,P03-2,13/05/2009 05:46:00,33.13055,-3.97684,09P09R,33.14191,-3.99127,1
P08-2,33.216,-3.883,P08-2M03,27/02/2013 08:03:26,33.21661,-3.88309,NULL,NULL,NULL,1
P05-8,33.203,-4.046,P05-8M20,1/3/2013 7:49,33.20322,-4.04595,NULL,NULL,NULL,1
P13-2,33.322,-3.773,P13-2M20,8/3/2013 6:58,33.32245,-3.7731,L012M20,33.32183,-3.77738,1
P05-7,33.181,-4.030,P05-7M30,9/3/2013 8:13,33.18126,-4.02987,NULL,NULL,NULL,1
P05-4,33.176,-3.959,P05-4M03,13/03/2013 07:39:33,33.17589,-3.95869,NULL,NULL,NULL,1
P08-2,33.216,-3.883,P08-2M17,27/03/2013 07:17:58,33.21649,-3.88287,NULL,NULL,NULL,1
P08-6,33.255,-3.958,P08-6M17,28/03/2013 07:11:54,33.25545,-3.95771,NULL,NULL,NULL,1
P08-7,33.270,-3.971,P08-7M17,28/03/2013 07:32:49,33.26993,-3.97118,NULL,NULL,NULL,1
P05-C,33.232,-3.965,P05-CM17,29/03/2013 06:49:47,33.23212,-3.96544,NULL,NULL,NULL,1
P12-2,33.298,-3.804,P12-2M11,3/4/2013 6:21,33.29775,-3.80351,D16M11,33.29807,-3.8029,1
P05-1,33.167,-3.891,P05-1M25,4/4/2013 5:52,33.16658,-3.89118,NULL,NULL,NULL,1
P10-1,33.254,-3.829,P10-1M11,5/4/2013 5:57,33.25444,-3.82932,NULL,NULL,NULL,1
P03-4,33.160,-4.007,P03-4M11,9/4/2013 7:03,33.16036,-4.00696,NULL,NULL,NULL,1
P09-1,33.228,-3.835,P09-1M17,16/04/2013 05:39:25,33.22805,-3.83545,NULL,NULL,NULL,1
P05-2,33.170,-3.912,P05-2M14,17/04/2013 06:34:42,33.16951,-3.91238,L99M14,33.16526,-3.91072,1
P08-6,33.255,-3.958,P08-6M30,3/4/2013 6:47,33.25543,-3.95771,NULL,NULL,NULL,1
P04-9,33.219,-4.062,P04-9M25,3/4/2013 7:17,33.21881,-4.06243,NULL,NULL,NULL,1
P05-5,33.181,-3.979,P05-5M25,5/4/2013 6:07,33.18115,-3.9795,NULL,NULL,NULL,1
P06-2,33.198,-3.898,P06-2M04,9/4/2013 5:48,33.19827,-3.89786,D48M04,33.20181,-3.91736,1
P06-6,33.221,-3.985,P06-6M04,10/4/2013 5:44,33.22108,-3.98526,D50M04,33.23243,-4.00087,1
P06-6,33.221,-3.985,P06-6M04,10/4/2013 5:44,33.22108,-3.98526,D49M04,33.22792,-3.99619,1
P05-1,33.167,-3.891,P05-1M14,17/04/2013 06:19:41,33.16659,-3.89123,NULL,NULL,NULL,1
P02-6,33.149,-4.063,P02-6M05,23/04/2013 06:11:48,33.14902,-4.06278,NULL,NULL,NULL,1
P04-1,33.136,-3.921,P04-1M17,19/04/2013 05:38:24,33.13626,-3.92145,NULL,NULL,NULL,1
P11-3,33.281,-3.863,P11-3M14,19/04/2013 06:34:38,33.28109,-3.86344,NULL,NULL,NULL,1
P04-4,33.166,-3.973,P04-4M06,30/04/2013 06:23:00,33.16576,-3.97291,NULL,NULL,NULL,1
P13-2,33.322,-3.773,P13-2M05,30/04/2013 06:53:00,33.3224,-3.77308,NULL,NULL,NULL,1
P10-9,33.311,-3.967,P10-9M25,2/5/2013 6:58,33.31139,-3.96746,NULL,NULL,NULL,1
P05-3,33.172,-3.937,P05-3M11,3/5/2013 6:00,33.17237,-3.93714,NULL,NULL,NULL,1
P04-D,33.194,-3.962,P04-DM30,7/5/2013 6:54,33.19362,-3.96161,D18M30,33.19479,-3.95567,1
P11-2,33.269,-3.846,P11-2M20,14/05/2013 05:35:00,33.2686,-3.84598,NULL,NULL,NULL,1
P07-1,33.196,-3.876,P07-1M04,14/05/2013 05:36:00,33.1959,-3.87639,NULL,NULL,NULL,1
P13-3,33.326,-3.782,P13-3M14,14/05/2013 05:54:00,33.32641,-3.78212,NULL,NULL,NULL,1
